Unnamed: 0,Team_id,Team_name,Team_shortName,Score,goalsMadrid,goalsOpp,loc,date,Mbappe_play,Vini_play,MbappeG,MbappeA,ViniG,ViniA,eloMadrid,eloOpp
77,0,Atalanta BC,Atalanta,WIN ,2,0,NEUTRAL,2024-08-14,YES,YES,1,0,0,1,1997.40795898,1884.45690918
0,89,RCD Mallorca,Mallorca,DRAW,1,1,AWAY,2024-08-18,YES,YES,0,0,0,1,1997.40795898,1642.39611816
1,250,Real Valladolid CF,Valladolid,WIN,3,0,HOME,2024-08-25,YES,YES,0,0,0,0,1990.88793945,1600.70202637
2,275,UD Las Palmas,Las Palmas,DRAW,1,1,AWAY,2024-08-29,YES,YES,0,0,1,0,1992.36889648,1582.39123535
3,90,Real Betis BalompiĂ©,Betis,WIN,2,0,HOME,2024-09-01,YES,YES,2,0,0,1,1985.11938477,1711.91577148
4,92,Real Sociedad de FĂştbol,Sociedad,WIN,2,0,AWAY,2024-09-14,YES,YES,1,0,1,1,1987.53869629,1744.88708496
5,10,VfB Stuttgart,Stuttgart,WIN,3,1,HOME,2024-09-17,YES,YES,1,0,0,0,1987.53869629,1791.24890137
6,80,RCD Espanyol de Barcelona,Espanyol,WIN,4,1,HOME,2024-09-21,YES,YES,1,1,1,1,1995.37438965,1609.8182373
7,263,Deportivo AlavĂ©s,Alaves,WIN,3,2,HOME,2024-09-24,YES,YES,1,0,0,1,1996.88305664,1658.26953125
8,78,Club AtlĂ©tico de Madrid,Atletico,DRAW,1,1,AWAY,2024-09-29,NO,YES,0,0,0,1,1999.66748047,1850.62573242
9,521,Lille OSC,Lille,LOSS,0,1,AWAY,2024-10-02,YES,YES,0,0,0,0,1997.89953613,1764.87744141
10,94,Villarreal CF,Villarreal,WIN,2,0,HOME,2024-10-05,YES,YES,0,0,1,0,1966.78771973,1741.19091797
11,558,RC Celta de Vigo,Celta,WIN,2,1,AWAY,2024-10-19,YES,YES,1,0,1,0,1969.73620605,1645.15026855
12,4,Borussia Dortmund,Dortmund,WIN,5,2,HOME,2024-10-22,YES,YES,0,1,3,0,1972.26293945,1866.07751465
13,81,FC Barcelona,Barcelona,LOSS,0,4,HOME,2024-10-26,YES,YES,0,0,0,0,1982.25061035,1905.47888184
14,98,AC Milan,Milan,LOSS,1,3,HOME,2024-11-05,YES,YES,0,0,1,0,1959.45031738,1816.1015625
15,79,CA Osasuna,Osasuna,WIN,4,0,HOME,2024-11-09,YES,YES,0,0,3,0,1936.13720703,1662.82250977
16,745,CD LeganĂ©s,Leganes,WIN,3,0,AWAY,2024-11-24,YES,YES,1,0,0,1,1939.57104492,1568.08569336
17,64,Liverpool FC,Liverpool,LOSS,0,2,AWAY,2024-11-27,YES,NO,0,0,0,0,1943.16040039,1973.15515137
18,82,Getafe CF,Getafe,WIN,2,0,HOME,2024-12-01,YES,NO,1,0,0,0,1935.71594238,1606.23815918
19,77,Athletic Club,Bilbao,LOSS,1,2,AWAY,2024-12-04,YES,NO,0,0,0,0,1937.46972656,1768.65454102
20,298,Girona FC,Girona,WIN,3,0,AWAY,2024-12-07,YES,NO,1,0,0,0,1926.73095703,1722.14489746
